label,area,equivalent_diameter,eccentricity,solidity,mean_intensity,image_name,snr_raw,snr_denoised
1,6064.0,87.86879195296831,0.46415489292226214,0.967453733248245,0.3137694655698691,11500X00.png,4.852891679069054,4.886471242560608
2,4162.0,72.79576213755679,0.3491218135035201,0.9570016095654174,0.3919542829145113,11500X00.png,4.852891679069054,4.886471242560608
3,2313.0,54.26788246258031,0.44435094163443556,0.9669732441471572,0.46939294524554304,11500X00.png,4.852891679069054,4.886471242560608
4,1817.0,48.098609676203644,0.14415854403725517,0.9513089005235602,0.4959694389588527,11500X00.png,4.852891679069054,4.886471242560608
5,1757.0,47.297799949888585,0.41206571692295746,0.9601092896174863,0.5284721059738636,11500X00.png,4.852891679069054,4.886471242560608
6,1548.0,44.39566212199151,0.29708363791918657,0.9591078066914498,0.5285681714546284,11500X00.png,4.852891679069054,4.886471242560608
7,998.0,35.64678198162763,0.4588378052708259,0.9633204633204633,0.5741129317458447,11500X00.png,4.852891679069054,4.886471242560608
8,213.0,16.46815177937675,0.8681245390951298,0.9383259911894273,0.6106968609039859,11500X00.png,4.852891679069054,4.886471242560608
1,6064.0,87.86879195296831,0.46415489292226214,0.967453733248245,0.3137694655698691,11500X01.png,4.852891679069054,4.886471242560608
2,4162.0,72.79576213755679,0.3491218135035201,0.9570016095654174,0.3919542829145113,11500X01.png,4.852891679069054,4.886471242560608
3,2313.0,54.26788246258031,0.44435094163443556,0.9669732441471572,0.46939294524554304,11500X01.png,4.852891679069054,4.886471242560608
4,1817.0,48.098609676203644,0.14415854403725517,0.9513089005235602,0.4959694389588527,11500X01.png,4.852891679069054,4.886471242560608
5,1757.0,47.297799949888585,0.41206571692295746,0.9601092896174863,0.5284721059738636,11500X01.png,4.852891679069054,4.886471242560608
6,1548.0,44.39566212199151,0.29708363791918657,0.9591078066914498,0.5285681714546284,11500X01.png,4.852891679069054,4.886471242560608
7,998.0,35.64678198162763,0.4588378052708259,0.9633204633204633,0.5741129317458447,11500X01.png,4.852891679069054,4.886471242560608
8,213.0,16.46815177937675,0.8681245390951298,0.9383259911894273,0.6106968609039859,11500X01.png,4.852891679069054,4.886471242560608
1,5365.0,82.64944136232349,0.7642124856496617,0.9237258953168044,0.31975074465946673,11500X02.png,4.1016084502864025,4.150692682432727
2,3502.0,66.77488214637701,0.3700117829678644,0.9490514905149051,0.3722533902195944,11500X02.png,4.1016084502864025,4.150692682432727
3,2483.0,56.22680668131002,0.577123345315924,0.947348340328119,0.3066594015777878,11500X02.png,4.1016084502864025,4.150692682432727
4,2496.0,56.37380511956742,0.5831728878453806,0.9383458646616541,0.37500942684766214,11500X02.png,4.1016084502864025,4.150692682432727
5,2826.0,59.98478935048093,0.3438219743230202,0.9595925297113752,0.39625189070674277,11500X02.png,4.1016084502864025,4.150692682432727
6,2026.0,50.78959851813597,0.49248210533701725,0.9552098066949553,0.35245146429746627,11500X02.png,4.1016084502864025,4.150692682432727
