label,area,perimeter,equivalent_diameter,eccentricity,solidity,mean_intensity,intensity_std,image_name,snr_raw,snr_denoised
1,6064.0,306.83556979968256,87.86879195296831,0.46415489292226214,0.967453733248245,0.3137694655698691,0.19686149986462909,11500X00.png,4.852891679069054,4.886471242560608
2,4162.0,255.03657992645924,72.79576213755679,0.3491218135035201,0.9570016095654174,0.3919542829145113,0.1514671377653377,11500X00.png,4.852891679069054,4.886471242560608
3,2313.0,184.36753236814712,54.26788246258031,0.44435094163443556,0.9669732441471572,0.46939294524554304,0.1148009634348766,11500X00.png,4.852891679069054,4.886471242560608
4,1817.0,167.68124086713186,48.098609676203644,0.14415854403725517,0.9513089005235602,0.4959694389588527,0.10864034201326622,11500X00.png,4.852891679069054,4.886471242560608
5,1757.0,163.43860018001263,47.297799949888585,0.41206571692295746,0.9601092896174863,0.5284721059738636,0.08195154370689513,11500X00.png,4.852891679069054,4.886471242560608
6,1548.0,151.05382386916236,44.39566212199151,0.29708363791918657,0.9591078066914498,0.5285681714546284,0.08391785654795371,11500X00.png,4.852891679069054,4.886471242560608
7,998.0,119.84062043356595,35.64678198162763,0.4588378052708259,0.9633204633204633,0.5741129317458447,0.06043801660814504,11500X00.png,4.852891679069054,4.886471242560608
8,213.0,65.00609665440987,16.46815177937675,0.8681245390951298,0.9383259911894273,0.6106968609039859,0.04037341658427511,11500X00.png,4.852891679069054,4.886471242560608
1,6064.0,306.83556979968256,87.86879195296831,0.46415489292226214,0.967453733248245,0.3137694655698691,0.19686149986462909,11500X01.png,4.852891679069054,4.886471242560608
2,4162.0,255.03657992645924,72.79576213755679,0.3491218135035201,0.9570016095654174,0.3919542829145113,0.1514671377653377,11500X01.png,4.852891679069054,4.886471242560608
3,2313.0,184.36753236814712,54.26788246258031,0.44435094163443556,0.9669732441471572,0.46939294524554304,0.1148009634348766,11500X01.png,4.852891679069054,4.886471242560608
4,1817.0,167.68124086713186,48.098609676203644,0.14415854403725517,0.9513089005235602,0.4959694389588527,0.10864034201326622,11500X01.png,4.852891679069054,4.886471242560608
5,1757.0,163.43860018001263,47.297799949888585,0.41206571692295746,0.9601092896174863,0.5284721059738636,0.08195154370689513,11500X01.png,4.852891679069054,4.886471242560608
6,1548.0,151.05382386916236,44.39566212199151,0.29708363791918657,0.9591078066914498,0.5285681714546284,0.08391785654795371,11500X01.png,4.852891679069054,4.886471242560608
7,998.0,119.84062043356595,35.64678198162763,0.4588378052708259,0.9633204633204633,0.5741129317458447,0.06043801660814504,11500X01.png,4.852891679069054,4.886471242560608
8,213.0,65.00609665440987,16.46815177937675,0.8681245390951298,0.9383259911894273,0.6106968609039859,0.04037341658427511,11500X01.png,4.852891679069054,4.886471242560608
1,5365.0,316.97770542341357,82.64944136232349,0.7642124856496617,0.9237258953168044,0.31975074465946673,0.16814052006451427,11500X02.png,4.1016084502864025,4.150692682432727
2,3502.0,238.55129855222071,66.77488214637701,0.3700117829678644,0.9490514905149051,0.3722533902195944,0.1508992583994903,11500X02.png,4.1016084502864025,4.150692682432727
3,2483.0,204.5685424949238,56.22680668131002,0.577123345315924,0.947348340328119,0.3066594015777878,0.18300948521028532,11500X02.png,4.1016084502864025,4.150692682432727
4,2496.0,198.16652224137044,56.37380511956742,0.5831728878453806,0.9383458646616541,0.37500942684766214,0.1328106317701033,11500X02.png,4.1016084502864025,4.150692682432727
5,2826.0,214.89444430272832,59.98478935048093,0.3438219743230202,0.9595925297113752,0.39625189070674277,0.1300046984598027,11500X02.png,4.1016084502864025,4.150692682432727
6,2026.0,183.9827560572969,50.78959851813597,0.49248210533701725,0.9552098066949553,0.35245146429746627,0.14750645552304292,11500X02.png,4.1016084502864025,4.150692682432727
7,1530.0,148.71067811865473,44.13679308065777,0.37877993478940775,0.9665192672141504,0.4669383570421633,0.0890864809872609,11500X02.png,4.1016084502864025,4.150692682432727
8,1648.0,162.71067811865476,45.80719124464573,0.4293625774889919,0.9454962707974757,0.4729440319817247,0.08892255556922442,11500X02.png,4.1016084502864025,4.150692682432727
9,1378.0,150.95331880577405,41.88703967392604,0.46128833695494037,0.9374149659863945,0.46215316315205324,0.10132211493288441,11500X02.png,4.1016084502864025,4.150692682432727
10,1006.0,120.66904755831214,35.78936967876878,0.5419651544340475,0.9508506616257089,0.5144505515924063,0.06943905434367523,11500X02.png,4.1016084502864025,4.150692682432727
1,5365.0,316.97770542341357,82.64944136232349,0.7642124856496617,0.9237258953168044,0.31975074465946673,0.16814052006451427,11500X03.png,4.1016084502864025,4.150692682432727
2,3502.0,238.55129855222071,66.77488214637701,0.3700117829678644,0.9490514905149051,0.3722533902195944,0.1508992583994903,11500X03.png,4.1016084502864025,4.150692682432727
3,2483.0,204.5685424949238,56.22680668131002,0.577123345315924,0.947348340328119,0.3066594015777878,0.18300948521028532,11500X03.png,4.1016084502864025,4.150692682432727
4,2496.0,198.16652224137044,56.37380511956742,0.5831728878453806,0.9383458646616541,0.37500942684766214,0.1328106317701033,11500X03.png,4.1016084502864025,4.150692682432727
5,2826.0,214.89444430272832,59.98478935048093,0.3438219743230202,0.9595925297113752,0.39625189070674277,0.1300046984598027,11500X03.png,4.1016084502864025,4.150692682432727
6,2026.0,183.9827560572969,50.78959851813597,0.49248210533701725,0.9552098066949553,0.35245146429746627,0.14750645552304292,11500X03.png,4.1016084502864025,4.150692682432727
7,1530.0,148.71067811865473,44.13679308065777,0.37877993478940775,0.9665192672141504,0.4669383570421633,0.0890864809872609,11500X03.png,4.1016084502864025,4.150692682432727
8,1648.0,162.71067811865476,45.80719124464573,0.4293625774889919,0.9454962707974757,0.4729440319817247,0.08892255556922442,11500X03.png,4.1016084502864025,4.150692682432727
9,1378.0,150.95331880577405,41.88703967392604,0.46128833695494037,0.9374149659863945,0.46215316315205324,0.10132211493288441,11500X03.png,4.1016084502864025,4.150692682432727
10,1006.0,120.66904755831214,35.78936967876878,0.5419651544340475,0.9508506616257089,0.5144505515924063,0.06943905434367523,11500X03.png,4.1016084502864025,4.150692682432727
